(1, 'Mercedes', 'HJ302TI', 'giallo', 1200, 'Automatico', 10274),
(353, 'Toyota', 'AY948QD', 'giallo', 1600, 'Automatico', 42781),
(354, 'Toyota', 'OI992XB', 'arancione', 2200, 'Manuale', 21655),
(355, 'Toyota', 'MN345MV', 'marrone', 1400, 'Automatico', 27854),
(356, 'Mercedes', 'HG418UJ', 'viola', 2600, 'Automatico', 43083),
(357, 'BMW', 'RS761ZU', 'rosso', 1200, 'Manuale', 72940),
(358, 'BMW', 'XF741ND', 'viola', 1800, 'Manuale', 40582),
(359, 'Toyota', 'DR602TH', 'rosso', 1800, 'Automatico', 15927),
(360, 'Toyota', 'RB574XP', 'marrone', 1200, 'Manuale', 38279),
(361, 'Toyota', 'YI265DU', 'marrone', 1400, 'Automatico', 68048),
(362, 'Mercedes', 'CG424DS', 'nero', 1800, 'Automatico', 34367),
(363, 'Mercedes', 'ZW127OI', 'verde', 2200, 'Manuale', 25567),
(364, 'Mercedes', 'ZJ538AZ', 'giallo', 2000, 'Manuale', 41745),
(365, 'BMW', 'EY737KG', 'blu', 2400, 'Manuale', 41255),
(366, 'Toyota', 'WD313OE', 'rosa', 2000, 'Manuale', 21082),
(367, 'BMW', 'EE409HI', 'grigio', 1200, 'Automatico', 78122),
(368, 'Toyota', 'YA899DZ', 'grigio', 2000, 'Automatico', 18963),
(369, 'Toyota', 'MR132ZY', 'marrone', 1600, 'Manuale', 41845),
(370, 'Audi', 'YV229NC', 'viola', 2200, 'Automatico', 60634),
(371, 'Toyota', 'XH114OH', 'verde', 2400, 'Manuale', 42327),
(372, 'Toyota', 'AX594MP', 'grigio', 1200, 'Automatico', 73049),
(373, 'Audi', 'IC870JC', 'viola', 2200, 'Automatico', 39579),
(374, 'Mercedes', 'FN108YM', 'viola', 1200, 'Automatico', 38656),
(375, 'Mercedes', 'CQ460GD', 'grigio', 1400, 'Automatico', 62691),
(376, 'BMW', 'RO345QV', 'rosa', 2600, 'Automatico', 79118),
(377, 'Mercedes', 'ZZ617XR', 'rosa', 1600, 'Automatico', 26835),
(378, 'Mercedes', 'DL869VG', 'rosso', 2200, 'Automatico', 23094),
(379, 'BMW', 'EV548VU', 'arancione', 2000, 'Automatico', 16903),
(380, 'Audi', 'SQ747HW', 'grigio', 1400, 'Automatico', 13460),
(381, 'BMW', 'XI988EP', 'arancione', 1800, 'Manuale', 44692),
(382, 'BMW', 'HB778KJ', 'blu', 1600, 'Manuale', 71425),
(383, 'Audi', 'DV741EM', 'arancione', 1200, 'Manuale', 69095),
(384, 'Toyota', 'RT216BA', 'rosa', 1400, 'Manuale', 75927),
(385, 'Audi', 'BR271SV', 'nero', 2000, 'Manuale', 40148),
(386, 'Mercedes', 'JM392GP', 'nero', 1600, 'Automatico', 42876),
(387, 'Audi', 'ZX432OZ', 'giallo', 1800, 'Manuale', 33034),
(388, 'Audi', 'ZW553ZK', 'arancione', 2400, 'Automatico', 70563),
(389, 'Audi', 'ID697XU', 'marrone', 2400, 'Automatico', 29736),
(390, 'Mercedes', 'KP968DG', 'viola', 2200, 'Automatico', 64427),
(391, 'Audi', 'JU268GP', 'viola', 1400, 'Automatico', 22358),
(392, 'Audi', 'NA554BV', 'nero', 2200, 'Automatico', 31782),
(393, 'Audi', 'LL479PO', 'grigio', 2000, 'Manuale', 71250),
(394, 'BMW', 'VL169BQ', 'marrone', 2600, 'Automatico', 78788),
(395, 'BMW', 'IC805IN', 'marrone', 1400, 'Automatico', 34495),
(396, 'Audi', 'JS157PI', 'grigio', 2600, 'Manuale', 68656),
(397, 'Mercedes', 'PC295RY', 'arancione', 1600, 'Manuale', 78641),
(398, 'Mercedes', 'IU557NP', 'rosso', 2000, 'Manuale', 40278),
(399, 'Mercedes', 'BQ259SW', 'rosa', 1800, 'Automatico', 24046),
(400, 'Toyota', 'TK534CN', 'rosa', 1800, 'Manuale', 21836),
(401, 'BMW', 'HO682RK', 'grigio', 1400, 'Automatico', 25749),
(402, 'Audi', 'MI650TP', 'blu', 1200, 'Automatico', 66940),
(403, 'Audi', 'FZ581GY', 'blu', 2600, 'Manuale', 57603),
(404, 'Mercedes', 'ZH104PB', 'marrone', 2600, 'Automatico', 57696),
(405, 'Audi', 'EA780QD', 'giallo', 1400, 'Automatico', 67330),
(406, 'Toyota', 'YH854BB', 'nero', 2000, 'Automatico', 23311),
(407, 'Toyota', 'JW886SE', 'verde', 2000, 'Automatico', 32835),
(408, 'Toyota', 'ZC407OT', 'nero', 1200, 'Manuale', 71510),
(409, 'Toyota', 'QR451MU', 'blu', 2600, 'Automatico', 60676),
(410, 'Audi', 'XP953SU', 'verde', 1200, 'Manuale', 62087),
(411, 'Toyota', 'KZ790JN', 'viola', 2600, 'Manuale', 76850),
(412, 'BMW', 'RW886DE', 'giallo', 1200, 'Automatico', 46166),
(413, 'Toyota', 'UP623RR', 'verde', 2600, 'Manuale', 31468),
(414, 'Toyota', 'DL336TY', 'grigio', 2400, 'Automatico', 70561),
(415, 'Audi', 'VS901JX', 'marrone', 2400, 'Manuale', 50431),
(416, 'BMW', 'NQ179IK', 'marrone', 2200, 'Automatico', 68825),
(417, 'Toyota', 'YH532CZ', 'rosso', 1600, 'Manuale', 20543),
(418, 'Audi', 'XR529TX', 'verde', 2200, 'Automatico', 47110),
(419, 'Toyota', 'VO273CR', 'rosa', 1400, 'Manuale', 52951),
(420, 'Mercedes', 'AV356CN', 'giallo', 2400, 'Automatico', 79847),
(421, 'Audi', 'BL709VM', 'giallo', 2600, 'Manuale', 37742),
(422, 'BMW', 'MV594ZV', 'rosso', 2600, 'Automatico', 24861),
(423, 'Mercedes', 'FR930YJ', 'marrone', 2000, 'Automatico', 49080),
(424, 'Toyota', 'RA532IV', 'nero', 1200, 'Automatico', 42435),
(425, 'Audi', 'NH552AS', 'blu', 2200, 'Automatico', 56483),
(426, 'BMW', 'EC242LS', 'verde', 1800, 'Manuale', 12796),
(427, 'Toyota', 'YB243PR', 'grigio', 1800, 'Automatico', 11082),
(428, 'Audi', 'CV324GY', 'arancione', 1600, 'Automatico', 61109),
(429, 'Audi', 'PO994XC', 'marrone', 1600, 'Automatico', 24559),
(430, 'BMW', 'QR961PT', 'arancione', 1200, 'Manuale', 19928),
(431, 'BMW', 'SH217IF', 'arancione', 1600, 'Automatico', 65482),
(432, 'Mercedes', 'LA905MQ', 'giallo', 2600, 'Manuale', 57548),
(433, 'Mercedes', 'WI702WI', 'marrone', 2000, 'Manuale', 23562),
(434, 'Toyota', 'RY522GO', 'giallo', 1400, 'Automatico', 57908),
(435, 'Toyota', 'QL840KE', 'verde', 1800, 'Automatico', 40807),
(436, 'Audi', 'QE574VU', 'viola', 2600, 'Manuale', 41614),
(437, 'Mercedes', 'GI266IF', 'rosso', 1600, 'Manuale', 32573),
(438, 'Mercedes', 'KG395EQ', 'arancione', 1200, 'Manuale', 50083),
(439, 'Toyota', 'NY600NK', 'arancione', 2000, 'Automatico', 68574),
(440, 'Mercedes', 'KG507AE', 'grigio', 2000, 'Manuale', 70617),
(441, 'Toyota', 'RG592FK', 'arancione', 1200, 'Manuale', 15720),
(442, 'Mercedes', 'JD352KA', 'blu', 2000, 'Automatico', 46442),
(443, 'BMW', 'NP739NA', 'rosso', 1400, 'Automatico', 75796),
(444, 'Toyota', 'UJ823GH', 'arancione', 1600, 'Automatico', 41227),
(445, 'Toyota', 'PV867YF', 'rosa', 2400, 'Automatico', 41715),
(446, 'Audi', 'AB166YL', 'grigio', 1600, 'Automatico', 23151),
(447, 'Toyota', 'XI980RH', 'arancione', 2200, 'Manuale', 78349),
(448, 'BMW', 'RQ147YD', 'nero', 1600, 'Automatico', 18297),
(449, 'Toyota', 'XB698VZ', 'giallo', 2200, 'Automatico', 20615),
(450, 'BMW', 'WM810ZE', 'rosso', 1400, 'Manuale', 53598),
(451, 'Mercedes', 'FL741XM', 'giallo', 2400, 'Automatico', 60667),
(452, 'BMW', 'IH116AM', 'blu', 2600, 'Manuale', 16735),
(453, 'Audi', 'WK378BX', 'grigio', 1200, 'Automatico', 45338),
(454, 'BMW', 'JC520GQ', 'verde', 2000, 'Manuale', 41687),
(455, 'Audi', 'QN453NU', 'nero', 1800, 'Manuale', 43284),
(456, 'Audi', 'IA404XX', 'rosa', 1400, 'Manuale', 29838),
(457, 'BMW', 'YX549XP', 'blu', 1400, 'Manuale', 39200),
(458, 'Toyota', 'QO406XT', 'giallo', 1400, 'Automatico', 23774),
(459, 'Mercedes', 'JK599EZ', 'giallo', 1600, 'Manuale', 11398),
(460, 'BMW', 'JF947ID', 'nero', 1800, 'Automatico', 50976),
(461, 'Toyota', 'CG899MH', 'grigio', 2000, 'Automatico', 72298),
(462, 'Toyota', 'IF820LX', 'grigio', 2200, 'Automatico', 71819),
(463, 'Audi', 'AD505UZ', 'nero', 1800, 'Manuale', 42199),
(464, 'BMW', 'RL716BN', 'blu', 1600, 'Automatico', 63370),
(465, 'Audi', 'SN676SI', 'viola', 2000, 'Automatico', 40810),
(466, 'Mercedes', 'NP936KC', 'marrone', 2200, 'Automatico', 13580),
(467, 'Mercedes', 'RT375OD', 'marrone', 2400, 'Manuale', 64297),
(468, 'Mercedes', 'CB617HZ', 'marrone', 1200, 'Manuale', 50308),
(469, 'Audi', 'ZV526YE', 'verde', 2200, 'Manuale', 51128),
(470, 'Mercedes', 'NY822GY', 'marrone', 1600, 'Automatico', 58852),
(471, 'BMW', 'WZ515OW', 'rosa', 1600, 'Automatico', 26572),
(472, 'Audi', 'NC817GI', 'verde', 1600, 'Manuale', 35150),
(473, 'Audi', 'YU370TI', 'arancione', 2000, 'Automatico', 76786),
(474, 'Mercedes', 'DA781BU', 'rosso', 2400, 'Automatico', 57095),
(475, 'Mercedes', 'WN646SN', 'nero', 1600, 'Manuale', 70568),
(476, 'Mercedes', 'GB161GB', 'verde', 1600, 'Manuale', 29703),
(477, 'Mercedes', 'WS214UQ', 'giallo', 1200, 'Manuale', 50908),
(478, 'Mercedes', 'IA460QY', 'nero', 2200, 'Automatico', 60543),
(479, 'BMW', 'EQ106OW', 'rosso', 1800, 'Manuale', 70203),
(480, 'Toyota', 'OS934GG', 'viola', 2400, 'Manuale', 18721),
(481, 'Toyota', 'ZS565WD', 'blu', 2000, 'Manuale', 17744),
(482, 'BMW', 'UE132QO', 'giallo', 2200, 'Automatico', 11672),
(483, 'Audi', 'ER733AY', 'verde', 1800, 'Manuale', 76710),
(484, 'Toyota', 'BM485CW', 'blu', 1400, 'Automatico', 12867),
(485, 'Toyota', 'IR660AM', 'viola', 2000, 'Manuale', 10711),
(486, 'Toyota', 'DY874EF', 'nero', 2600, 'Automatico', 69615),
(487, 'Audi', 'FW175TI', 'verde', 2600, 'Automatico', 17752),
(488, 'Audi', 'QF949BH', 'rosso', 1600, 'Manuale', 60491),
(489, 'Toyota', 'UI529TA', 'rosso', 2600, 'Automatico', 72669),
(490, 'Audi', 'QB721RQ', 'marrone', 2200, 'Manuale', 38894),
(491, 'Audi', 'RV717CS', 'arancione', 2600, 'Manuale', 38968),
(492, 'Mercedes', 'IS599TJ', 'arancione', 1400, 'Manuale', 76866),
(493, 'Toyota', 'JV737NP', 'giallo', 1200, 'Manuale', 14561),
(494, 'Audi', 'EV465JH', 'viola', 2400, 'Automatico', 53979),
(495, 'Audi', 'SI320DT', 'nero', 2400, 'Automatico', 78563),
(496, 'Audi', 'PH402VQ', 'viola', 2200, 'Manuale', 46916),
(497, 'Toyota', 'WW862TW', 'marrone', 2000, 'Automatico', 78809),
(498, 'Audi', 'RO519LY', 'rosso', 1800, 'Automatico', 65763),
(499, 'BMW', 'HK465KP', 'verde', 1600, 'Manuale', 55404),
(500, 'Audi', 'YZ495LM', 'verde', 2000, 'Automatico', 26984),
(501, 'Toyota', 'NJ289EE', 'verde', 1600, 'Automatico', 61619),
(502, 'Toyota', 'DT852CY', 'giallo', 2400, 'Manuale', 31032),
(503, 'BMW', 'KX658FP', 'marrone', 1800, 'Manuale', 72825),
(504, 'Toyota', 'TN722JK', 'blu', 1200, 'Automatico', 70361),
(505, 'Mercedes', 'JD572BG', 'rosa', 2000, 'Automatico', 23434),
(506, 'BMW', 'MB290IF', 'marrone', 1200, 'Automatico', 62335),
(507, 'Toyota', 'CQ720PL', 'arancione', 2400, 'Automatico', 59008),
(508, 'Mercedes', 'JP472HI', 'blu', 2400, 'Automatico', 63178),
(509, 'Audi', 'TT766VB', 'verde', 1400, 'Manuale', 13181),
(510, 'Toyota', 'OF577PG', 'rosso', 2400, 'Automatico', 21933),
(511, 'Toyota', 'CS985QK', 'marrone', 1400, 'Automatico', 65422),
(512, 'BMW', 'XU973PC', 'marrone', 1400, 'Automatico', 40870),
(513, 'Audi', 'KS934SY', 'rosa', 1600, 'Automatico', 61053),
(514, 'Mercedes', 'WU817LG', 'nero', 1600, 'Automatico', 32354),
(515, 'Mercedes', 'FT727SS', 'arancione', 2200, 'Automatico', 75246),
(516, 'Toyota', 'OR294BO', 'nero', 2600, 'Manuale', 73774),
(517, 'BMW', 'NI355QP', 'grigio', 2000, 'Automatico', 54541),
(518, 'BMW', 'EZ906BQ', 'arancione', 2000, 'Manuale', 33081),
(519, 'BMW', 'RN234XN', 'blu', 1400, 'Automatico', 40657),
(520, 'Mercedes', 'UP633VB', 'grigio', 2600, 'Manuale', 29957),
(521, 'Audi', 'OR385LS', 'grigio', 2400, 'Automatico', 70211),
(522, 'BMW', 'SY104GX', 'marrone', 1200, 'Manuale', 16192),
(523, 'Audi', 'HC787ZN', 'blu', 1800, 'Manuale', 45634),
(524, 'Toyota', 'TO192JK', 'rosa', 1200, 'Manuale', 23500),
(525, 'BMW', 'WA590WI', 'nero', 2200, 'Automatico', 25347),
(526, 'Audi', 'UM554FI', 'blu', 1200, 'Automatico', 75344),
(527, 'Mercedes', 'XP487VB', 'arancione', 1200, 'Manuale', 18095),
(528, 'Audi', 'RD394ZI', 'arancione', 1200, 'Automatico', 24711),
(529, 'Toyota', 'QQ959RP', 'rosa', 1600, 'Automatico', 69864),
(530, 'BMW', 'OP344QG', 'rosa', 1600, 'Manuale', 18901),
(531, 'Audi', 'GY721ZH', 'rosso', 1200, 'Manuale', 61118),
(532, 'Mercedes', 'YQ558GA', 'giallo', 2200, 'Automatico', 60932),
(533, 'BMW', 'GZ610US', 'rosa', 2600, 'Automatico', 49748),
(534, 'Toyota', 'UR308VA', 'grigio', 2200, 'Manuale', 48650),
(535, 'Mercedes', 'DF930XJ', 'arancione', 2400, 'Manuale', 53214),
(536, 'Toyota', 'HF150EL', 'rosso', 1600, 'Automatico', 77247),
(537, 'Audi', 'QH490ZZ', 'arancione', 1400, 'Manuale', 55378),
(538, 'Mercedes', 'MG113AS', 'rosa', 2600, 'Manuale', 59309),
(539, 'Audi', 'EP302RM', 'blu', 1800, 'Automatico', 56461),
(540, 'Mercedes', 'OS695GJ', 'marrone', 2200, 'Manuale', 22445),
(541, 'Audi', 'IV361BH', 'marrone', 2200, 'Automatico', 32785),
(542, 'Audi', 'ZA259LC', 'viola', 2600, 'Manuale', 19970),
(543, 'Audi', 'BN805TL', 'arancione', 1800, 'Manuale', 44959),
(544, 'Toyota', 'PN446TD', 'arancione', 2000, 'Manuale', 71310),
(545, 'Toyota', 'ZA270SF', 'nero', 2000, 'Automatico', 26500),
(546, 'Mercedes', 'HD323IG', 'rosa', 1600, 'Automatico', 26198),
(547, 'Audi', 'YB691ZX', 'arancione', 2600, 'Manuale', 29264),
(548, 'Mercedes', 'BG304AI', 'verde', 1200, 'Automatico', 43563),
(549, 'Toyota', 'BM838YK', 'grigio', 1800, 'Automatico', 74360),
(550, 'Audi', 'JF727EL', 'marrone', 1800, 'Automatico', 12869),
(551, 'Mercedes', 'PO726UD', 'viola', 2600, 'Automatico', 38879),
(552, 'Audi', 'EW665YL', 'arancione', 2000, 'Automatico', 15920),
(553, 'Toyota', 'IE827CD', 'arancione', 2200, 'Manuale', 16804),
(554, 'BMW', 'PR490SO', 'giallo', 2600, 'Manuale', 27833),
(555, 'Audi', 'WR335QA', 'giallo', 1600, 'Automatico', 31531),
(556, 'Audi', 'XG561UZ', 'arancione', 1800, 'Manuale', 20907),
(557, 'Audi', 'HZ365RF', 'rosa', 2400, 'Automatico', 64792),
(558, 'Toyota', 'CN469AR', 'rosso', 2200, 'Automatico', 41457),
(559, 'Audi', 'UH491CT', 'viola', 2200, 'Manuale', 40609),
(560, 'Mercedes', 'LI406AS', 'arancione', 1800, 'Manuale', 27506),
(561, 'Mercedes', 'WD164WL', 'rosso', 1200, 'Manuale', 61842),
(562, 'Audi', 'LG235CY', 'rosso', 1200, 'Manuale', 72291),
(563, 'BMW', 'QC447TM', 'verde', 1200, 'Manuale', 57061),
(564, 'Mercedes', 'OF864MH', 'giallo', 1800, 'Manuale', 65569),
(565, 'BMW', 'ZN930RU', 'rosa', 2600, 'Manuale', 47909),
(566, 'Toyota', 'WS712TU', 'viola', 1200, 'Automatico', 70224),
(567, 'Toyota', 'GQ152DI', 'giallo', 1200, 'Automatico', 39261),
(568, 'BMW', 'QI605KS', 'nero', 1800, 'Manuale', 17894),
(569, 'Mercedes', 'JK225TY', 'marrone', 1200, 'Manuale', 25006),
(570, 'Audi', 'TJ609EZ', 'rosa', 1600, 'Manuale', 28014),
(571, 'Toyota', 'YL644QI', 'rosa', 2600, 'Manuale', 35669),
(572, 'Mercedes', 'US869EM', 'rosa', 1200, 'Manuale', 78338),
(573, 'Audi', 'NK382PU', 'arancione', 2200, 'Automatico', 41395),
(574, 'Toyota', 'MD167MU', 'grigio', 2200, 'Automatico', 62828),
(575, 'Toyota', 'YB818YQ', 'verde', 2000, 'Automatico', 33421),
(576, 'Audi', 'QI715EJ', 'viola', 1600, 'Manuale', 77884),
(577, 'BMW', 'KG760GL', 'rosa', 2400, 'Automatico', 41736),
(578, 'Mercedes', 'DB885KT', 'arancione', 2600, 'Automatico', 27740),
(579, 'Mercedes', 'RK470ZN', 'marrone', 2200, 'Manuale', 35794),
(580, 'Mercedes', 'PD594FE', 'nero', 2000, 'Manuale', 12708),
(581, 'Audi', 'OU750GJ', 'nero', 2400, 'Automatico', 48072),
(582, 'BMW', 'UG734JF', 'marrone', 1200, 'Manuale', 37899),
(583, 'Toyota', 'JM404UP', 'verde', 2200, 'Manuale', 64668),
(584, 'Toyota', 'VY517OU', 'rosso', 1600, 'Manuale', 49199),
(585, 'Toyota', 'JK913BC', 'grigio', 1400, 'Manuale', 65819),
(586, 'BMW', 'UX455CN', 'nero', 2600, 'Manuale', 34641),
(587, 'BMW', 'MU180UI', 'nero', 2200, 'Manuale', 60402),
(588, 'Audi', 'JS422JU', 'rosso', 2200, 'Automatico', 50121),
(589, 'BMW', 'ZH200HR', 'arancione', 1600, 'Manuale', 74319),
(590, 'Toyota', 'VL620QF', 'marrone', 2000, 'Manuale', 70158),
(591, 'BMW', 'DR467NY', 'giallo', 2200, 'Automatico', 54399),
(592, 'Audi', 'JF500KM', 'arancione', 1400, 'Manuale', 19307),
(593, 'BMW', 'ZF672JP', 'viola', 1800, 'Manuale', 73013),
(594, 'BMW', 'PQ377QW', 'giallo', 2000, 'Automatico', 37450),
(595, 'BMW', 'HB453EI', 'blu', 2600, 'Automatico', 33172),
(596, 'Mercedes', 'BV697PI', 'rosa', 1800, 'Automatico', 69486),
(597, 'Toyota', 'PD774NY', 'blu', 2600, 'Manuale', 16547),
(598, 'Audi', 'NV730PE', 'marrone', 2400, 'Manuale', 33054),
(599, 'BMW', 'BW814UF', 'blu', 1400, 'Manuale', 74822),
(600, 'Mercedes', 'BG466KW', 'rosa', 2600, 'Manuale', 76676),
(601, 'BMW', 'ZP609PV', 'verde', 1400, 'Automatico', 14309),
(602, 'Mercedes', 'BM141XW', 'giallo', 2000, 'Automatico', 15396),
(603, 'BMW', 'RN978LJ', 'giallo', 1400, 'Automatico', 75759),
(604, 'Mercedes', 'IF214TH', 'blu', 2200, 'Automatico', 70708),
(605, 'BMW', 'TU779XW', 'giallo', 1200, 'Automatico', 26378),
(606, 'Mercedes', 'NH916AZ', 'grigio', 1400, 'Manuale', 73650),
(607, 'BMW', 'CY695ZX', 'marrone', 1800, 'Manuale', 59675),
(608, 'Audi', 'RR901AK', 'nero', 1200, 'Manuale', 10724),
(609, 'Audi', 'PC820MY', 'blu', 2200, 'Automatico', 19131),
(610, 'Audi', 'KE696RE', 'grigio', 2400, 'Automatico', 47486),
(611, 'Audi', 'ES421VY', 'viola', 2200, 'Manuale', 10915),
(612, 'BMW', 'ZJ448VI', 'rosa', 1200, 'Automatico', 66212),
(613, 'Audi', 'GA286CP', 'grigio', 2200, 'Manuale', 15479),
(614, 'BMW', 'KM836EB', 'blu', 1400, 'Automatico', 67636),
(615, 'Mercedes', 'BE938QY', 'grigio', 2200, 'Automatico', 73893),
(616, 'BMW', 'YS690DO', 'giallo', 2600, 'Automatico', 31691),
(617, 'Audi', 'TM774ZN', 'rosso', 1600, 'Automatico', 67850),
(618, 'BMW', 'IZ624HZ', 'grigio', 1200, 'Manuale', 64832),
(619, 'BMW', 'OX366YX', 'verde', 2000, 'Automatico', 29401),
(620, 'Toyota', 'FD338UK', 'blu', 1400, 'Automatico', 17700),
(621, 'Mercedes', 'MO833MW', 'verde', 1200, 'Manuale', 58867),
(622, 'Audi', 'IR811RP', 'grigio', 2200, 'Manuale', 29899),
(623, 'Mercedes', 'QQ603XE', 'viola', 1800, 'Automatico', 49809),
(624, 'Audi', 'UU151ZK', 'rosso', 2600, 'Manuale', 28277),
(625, 'Audi', 'EO314ST', 'blu', 1200, 'Manuale', 64154),
(626, 'Mercedes', 'BI388LB', 'verde', 1800, 'Manuale', 66460),
(627, 'Toyota', 'JB850PS', 'arancione', 2600, 'Manuale', 18407),
(628, 'Toyota', 'CB329PB', 'nero', 1400, 'Automatico', 50104),
(629, 'BMW', 'BA509ME', 'verde', 1400, 'Automatico', 73025),
(630, 'BMW', 'DD845WU', 'nero', 2600, 'Manuale', 46697),
(631, 'Toyota', 'VO750HH', 'rosso', 2200, 'Manuale', 50806),
(632, 'BMW', 'QJ736WG', 'viola', 1600, 'Manuale', 75847),
(633, 'Mercedes', 'TZ783IT', 'rosso', 2200, 'Automatico', 42216),
(634, 'Audi', 'PE830RV', 'giallo', 2200, 'Automatico', 62745),
(635, 'BMW', 'LU218LE', 'rosa', 1800, 'Manuale', 25910),
(636, 'Toyota', 'HI651BV', 'rosso', 1400, 'Manuale', 76069),
(637, 'Mercedes', 'VV491NY', 'rosa', 1400, 'Automatico', 43860),
(638, 'Toyota', 'RS648VQ', 'rosso', 1600, 'Automatico', 72957),
(639, 'Toyota', 'RW801VV', 'giallo', 1600, 'Automatico', 40076),
(640, 'Audi', 'NI576FA', 'giallo', 1400, 'Manuale', 16240),
(641, 'BMW', 'KU553YQ', 'arancione', 1800, 'Manuale', 41911),
(642, 'Mercedes', 'XH147LH', 'rosa', 1800, 'Automatico', 43418),
(643, 'Toyota', 'NF480EC', 'verde', 1600, 'Automatico', 62275),
(644, 'Audi', 'XF524GT', 'grigio', 1400, 'Automatico', 66735),
(645, 'Toyota', 'NH453KJ', 'grigio', 2600, 'Manuale', 27477),
(646, 'BMW', 'MA646EX', 'grigio', 2000, 'Automatico', 39952),
(647, 'Mercedes', 'IC308LQ', 'grigio', 2200, 'Automatico', 62903),
(648, 'Toyota', 'WX470TY', 'nero', 2000, 'Automatico', 51825),
(649, 'Mercedes', 'MA698DE', 'grigio', 1400, 'Automatico', 38991),
(650, 'Audi', 'YK136EE', 'marrone', 1600, 'Manuale', 51795),
(651, 'Audi', 'NY557NX', 'marrone', 1200, 'Manuale', 27605),
(652, 'Toyota', 'NQ952PQ', 'grigio', 2400, 'Automatico', 67064),
(653, 'Toyota', 'DD876XN', 'blu', 1200, 'Automatico', 72202),
(654, 'BMW', 'QS823WW', 'blu', 2200, 'Manuale', 33595),
(655, 'Mercedes', 'LK960MR', 'giallo', 2000, 'Automatico', 18531),
(656, 'Toyota', 'NC495GQ', 'marrone', 1600, 'Automatico', 69619),
(657, 'Audi', 'ZA429MO', 'rosso', 1400, 'Automatico', 51187),
(658, 'Mercedes', 'LF724VQ', 'rosso', 2200, 'Automatico', 52874),
(659, 'Audi', 'LQ688ZW', 'blu', 2600, 'Manuale', 43613),
(660, 'Mercedes', 'YR390VB', 'rosso', 1200, 'Automatico', 39577),
(661, 'Audi', 'SV769XI', 'marrone', 1200, 'Automatico', 38497),
(662, 'Audi', 'XC530WJ', 'viola', 1600, 'Manuale', 67359),
(663, 'BMW', 'RZ405QM', 'marrone', 2000, 'Automatico', 49866),
(664, 'BMW', 'LN396RA', 'blu', 1800, 'Automatico', 46021),
(665, 'Toyota', 'KO586LO', 'verde', 1800, 'Manuale', 16707),
(666, 'Toyota', 'RY452PE', 'marrone', 2600, 'Manuale', 36157),
(667, 'Toyota', 'XD641UE', 'blu', 1800, 'Manuale', 28028),
(668, 'Audi', 'UM664VF', 'arancione', 2000, 'Automatico', 36929),
(669, 'Mercedes', 'TD932KD', 'rosa', 1400, 'Automatico', 24086),
(670, 'BMW', 'IH697QI', 'marrone', 2400, 'Manuale', 31002),
(671, 'Audi', 'VI928ER', 'viola', 2600, 'Manuale', 77580),
(672, 'Audi', 'BH692KO', 'nero', 1200, 'Manuale', 34772),
(673, 'Mercedes', 'EP345QZ', 'verde', 1600, 'Manuale', 69948),
(674, 'BMW', 'EF225XQ', 'viola', 2600, 'Manuale', 12692),
(675, 'BMW', 'SR537XN', 'marrone', 2400, 'Automatico', 32643),
(676, 'BMW', 'XM467CM', 'verde', 1800, 'Manuale', 28972),
(677, 'Audi', 'ZM407HI', 'rosa', 2000, 'Automatico', 29805),
(678, 'Toyota', 'XY136IH', 'rosa', 1800, 'Automatico', 47075),
(679, 'BMW', 'DT289HQ', 'nero', 1600, 'Automatico', 73956),
(680, 'Toyota', 'BN595UE', 'marrone', 1600, 'Manuale', 66390),
(681, 'Toyota', 'VW565XE', 'viola', 1400, 'Automatico', 51361),
(682, 'Mercedes', 'VQ694RL', 'verde', 2600, 'Manuale', 55806),
(683, 'Mercedes', 'LG963DC', 'viola', 1400, 'Automatico', 31412),
(684, 'Mercedes', 'PE941DE', 'viola', 2400, 'Automatico', 69988),
(685, 'BMW', 'LR235LM', 'blu', 2600, 'Manuale', 23646),
(686, 'Audi', 'YI757KR', 'rosso', 1600, 'Automatico', 27912),
(687, 'Toyota', 'UO328XN', 'giallo', 2000, 'Manuale', 73007),
(688, 'Mercedes', 'MJ863VN', 'marrone', 1200, 'Manuale', 46582),
(689, 'Toyota', 'OI627BW', 'viola', 1600, 'Manuale', 21686),
(690, 'Audi', 'MK277CP', 'arancione', 2200, 'Automatico', 50397),
(691, 'Audi', 'YI797EV', 'giallo', 2600, 'Automatico', 63605),
(692, 'Audi', 'HA456AH', 'viola', 1400, 'Manuale', 33589),
(693, 'Audi', 'GX365PI', 'verde', 1600, 'Manuale', 75002),
(694, 'Mercedes', 'BD795SQ', 'marrone', 2600, 'Manuale', 60430),
(695, 'BMW', 'LR570GP', 'rosso', 2200, 'Manuale', 28060),
(696, 'Mercedes', 'ST737CI', 'rosa', 2600, 'Manuale', 14188),
(697, 'Mercedes', 'WN305NJ', 'rosso', 1600, 'Automatico', 36732),
(698, 'Mercedes', 'WV804UZ', 'arancione', 1800, 'Manuale', 35954),
(699, 'Audi', 'WN901JK', 'marrone', 1200, 'Automatico', 40638),
(700, 'BMW', 'MH387KZ', 'marrone', 1200, 'Manuale', 41035),
(701, 'Toyota', 'TT333FQ', 'blu', 2200, 'Automatico', 38407),
(702, 'Toyota', 'AM335NY', 'marrone', 1400, 'Manuale', 68422),
(703, 'BMW', 'ZQ318VC', 'blu', 1400, 'Automatico', 16477),
